news_url,title,Label
https://newsroom.clevelandclinic.org/2020/03/24/cleveland-whiskey-collaborates-with-cleveland-clinic-to-supply-hand-sanitizer-to-the-health-system/,Cleveland Whiskey Collaborates with Cleveland Clinic to Supply Hand Sanitizer to the Health System,0
https://www.healthline.com/health-news/flu-season-update-vaccine-shortages-states-hit,Flu Season Update: Where the Virus Is Hitting and What Shots Are in Short Supply,0
https://www.sciencedaily.com/releases/2020/04/200403103957.htm,Rapid Infectious Disease Shifts in Chinese Children and Adolescents Prior to COVID-19,0
https://www.facebook.com/1889679177953794/posts/2534769343444771,ÒMainstream mediaÓ used a photo from a 2017 movie as an image for ItalyÕs coronavirus morgue.,1
https://www.theepochtimes.com/programming-alert-exclusive-documentary-on-origin-of-the-ccp-virus-premieres_3302336.html,A video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered (manmade).,1
https://www.cdc.gov/quarantine/maritime/recommendations-for-ships.html,Interim Guidance for Ships on Managing Suspected Coronavirus Disease 2019,0
https://www.facebook.com/marybuffylewis/posts/4127663580580748,"ÒGeorge Soros owns the WuXi PHARMA LAB located in Wuhan, China, where COVID-19 was developed and conveniently broke out.Ó",1
https://www.facebook.com/groups/714404798953669/permalink/954248171635996/,Freshly boiled garlic water is a cure for coronavirus.,1
https://www.webmd.com/lung/news/20200117/cdc-to-screen-travelers-for-novel-coronavirus-at-three-us-airports,CDC to Screen for Novel Coronavirus at Three US Airports,0
https://www.youtube.com/watch?v=5snzKNXP-S8,Studies show the coronavirus was engineered to be a bioweapon.,1
https://www.cdc.gov/coronavirus/2019-ncov/covid-data/covidview/05012020/covid-like-illness.html,Emergency Department Visits Percentage of Visits for COVID-19-Like Illness (CLI) or Influenza-like Illness (ILI),0
https://obamawatcher.com/2020/03/smoovyotown/,Obama family flown to private island to escape coronavirus pandemic.,1
https://www.who.int/news-room/events/detail/2020/03/24/default-calendar/world-tuberculosis-day-2020,"""World Tuberculosis Day 2020""",0
https://www.webmd.com/lung/news/20200320/small-italian-study-shows-fatalities-linked-to-other-conditions,Small Study Analyzes Italy Coronavirus Deaths,0
https://www.facebook.com/bryan.baucom1/posts/10215845561003258,Coronavirus found in toilet paper.,1
https://www.webmd.com/lung/news/20200309/risk-factors-for-death-from-covid-19-identified-in-wuhan-patients,Risk Factors for Death From COVID-19 Identified,0
https://www.webmd.com/lung/news/20200326/us-hospital-beds-were-maxed-out-before-pandemic,U.S. Hospital Beds Were Maxed Out Before Pandemic,0
https://twitter.com/HOwensUSA/status/1238204151508713474?ref_src=twsrc%5Etfw,NYC did implement a citywide quarantine.,1
https://www.facebook.com/tacticaldalailamma/photos/a.599391356886838/1506707429488555/?type=3&theater,The media Òpulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus.Ó,1
https://www.facebook.com/DonaldJTrumpJr/?__xts__%5B0%5D=68.ARABC_j9RkxDnAjQ4WECwI_n7paizBruFi44btCgWjXaem-nNUD3EuVwiLHIqtWcQVw2OVPkzHCLO2CKAEBj_3mP0zjOma7TyVPIbRTuJSYMhxpYiMX37O7a80yo7b_yj4fVM7w7uSROIXHZsJVf7hLJDzFZTlLbBsnb-tV6O6d5ao5ef4iPjiZJB2xEsIx_PY71AsiV-Ymph9FUFJZJecP4_JTfVP4ABeaSOmM7y7o1w3CneJNlmANPBouQU_YDvCK-JoprhJ2TMYNIGIFnlxG4OIT_soTO0MgK_xT3v0FW00_3TEp9QjLh9olUfm2lT8Ungw&__tn__=k%2AF&tn-str=k%2AF,Initial lack of evidence for human-to-human COVID-19 transmission unusual.,1
https://www.medicalnewstoday.com/articles/covid-19-what-you-can-do-right-now-to-stay-safe,COVID-19: Practical tips on staying safe,0
https://www.webmd.com/lung/news/20200311/scientists-seek-answers-to-hypertension-covid-19-link,Scientists Seek Answers to Hypertension-COVID-19 Link,0
https://www.webmd.com/lung/news/20200330/new-guidance-on-management-of-acute-cvd-during-covid-19,More Than 60 Doctors in Italy Have Died in COVID-19 Pandemic,0
https://twitter.com/realDonaldTrump/status/1238288908431036423?s=20,"Donald Trump claims Joe Biden Òwas in charge of the H1N1 Swine Flu epidemic which killed thousands of people. The response was one of the worst on record. Our response is one of the best, with fast action of border closings and a 78% approval rating, the highest on record. His was lowest!Ó",1
https://www.facebook.com/ben.hart.1042/posts/10157465624892705,Herd immunity is probably why California has far fewer COVID-19 deaths than New York.,1
https://www.cdc.gov/coronavirus/2019-ncov/community/organizations/rail-transit-operator.html,What Rail Transit Operators Need to Know About COVID-19,0
https://www.webmd.com/lung/news/20200430/smokers-hospitalized-less-often-for-covid-19,Smokers Hospitalized Less Often for COVID-19,0
https://www.healthline.com/health-news/highriskcovid-on-twitter-spotlights-average-people-at-risk,This Is What It Looks Like to Be #HighRiskCOVID19,0
https://www.facebook.com/photo.php?fbid=10213476669110339&set=a.10206337629518811&type=3&theater,"ÒWhen using a medical mask, youÕre supposed to wear the white side out when youÕre not sick.Ó",1
https://www.cdc.gov/coronavirus/2019-ncov/community/colleges-universities/index.html,Resources for Institutes of Higher Education,0
http://www.react365.com/5e2b4741895d7/coronavirus-case-confirmed-in-des-moines.html,Coronavirus is in Des Moines. (Jan. 29),1
https://www.facebook.com/pg/teapartyorg/posts/?ref=page_internal,ÒHuge! Results From Breaking Chloroquine Study Show 100% Cure Rate For Patients Infected With The coronavirus.Ó,1
,"The federal government is Òpreparing to mobilize the national guard,Ó Òdispatch them across the US with militaryÓ and Òannounce a nationwide 1 week quarantine for all citizens.Ó",1
